,lock,percents
10-17,2711,2.27%
07-10,1008,0.84%
07-06,949,0.79%
11-25,938,0.78%
01-04,886,0.74%
10-03,869,0.72%
11-04,817,0.68%
07-08,796,0.66%
02-24,794,0.66%
01-18,785,0.65%
12-07,784,0.65%
10-14,735,0.61%
01-20,686,0.57%
01-01,676,0.56%
01-02,676,0.56%
02-04,675,0.56%
02-03,673,0.56%
02-02,666,0.55%
07-02,665,0.55%
01-19,657,0.55%
01-06,650,0.54%
01-16,649,0.54%
10-16,641,0.53%
02-09,640,0.53%
02-20,627,0.52%
12-09,626,0.52%
05-25,615,0.51%
01-27,599,0.5%
08-17,590,0.49%
01-25,589,0.49%
01-14,567,0.47%
02-10,548,0.45%
11-02,543,0.45%
04-04,539,0.45%
01-07,538,0.45%
01-24,527,0.44%
04-06,525,0.43%
01-05,524,0.43%
01-11,523,0.43%
02-15,521,0.43%
04-17,516,0.43%
02-01,515,0.43%
01-28,508,0.42%
01-26,502,0.42%
01-10,501,0.41%
02-11,489,0.4%
03-03,488,0.4%
01-22,487,0.4%
02-23,480,0.4%
01-15,479,0.4%
01-12,473,0.39%
03-26,468,0.39%
06-30,466,0.39%
12-13,462,0.38%
01-31,461,0.38%
02-08,459,0.38%
09-19,458,0.38%
02-05,457,0.38%
01-23,457,0.38%
02-06,455,0.38%
02-12,453,0.37%
02-16,452,0.37%
04-13,451,0.37%
01-30,450,0.37%
01-13,444,0.37%
08-05,443,0.37%
01-03,438,0.36%
12-10,437,0.36%
10-28,431,0.36%
12-15,430,0.36%
07-23,424,0.35%
01-21,423,0.35%
10-20,418,0.35%
02-22,417,0.34%
03-02,415,0.34%
11-07,410,0.34%
02-07,409,0.34%
03-01,409,0.34%
01-09,405,0.33%
09-14,403,0.33%
12-14,399,0.33%
03-07,399,0.33%
01-29,398,0.33%
12-12,396,0.33%
11-21,394,0.33%
02-17,393,0.32%
03-14,389,0.32%
11-16,384,0.32%
07-15,382,0.31%
10-21,381,0.31%
09-09,380,0.31%
02-14,375,0.31%
10-19,373,0.31%
11-12,373,0.31%
01-08,373,0.31%
08-04,372,0.31%
09-21,372,0.31%
04-21,370,0.3%
02-21,368,0.3%
03-09,368,0.3%
02-13,366,0.3%
02-19,365,0.3%
09-28,358,0.29%
02-25,357,0.29%
01-17,357,0.29%
03-28,356,0.29%
02-26,356,0.29%
05-19,354,0.29%
11-26,351,0.29%
03-06,349,0.29%
02-18,347,0.29%
12-02,342,0.28%
05-17,339,0.28%
04-03,337,0.28%
05-02,337,0.28%
09-01,334,0.27%
11-03,333,0.27%
11-09,332,0.27%
09-23,332,0.27%
12-18,332,0.27%
04-20,331,0.27%
08-11,326,0.27%
09-04,326,0.27%
10-02,325,0.27%
08-24,324,0.27%
09-12,323,0.27%
03-21,321,0.26%
03-16,321,0.26%
03-20,320,0.26%
05-18,317,0.26%
09-22,316,0.26%
05-13,316,0.26%
09-15,314,0.26%
03-15,310,0.25%
03-10,309,0.25%
03-13,308,0.25%
05-16,307,0.25%
10-10,306,0.25%
10-24,305,0.25%
11-30,304,0.25%
03-12,304,0.25%
04-05,304,0.25%
06-20,304,0.25%
03-30,303,0.25%
07-09,302,0.25%
07-13,301,0.25%
08-21,301,0.25%
12-11,300,0.25%
08-14,300,0.25%
